,Thickness_0,Thickness_1,U-Factor,DistrictCooling:Facility,DistrictHeating:Facility,PredictedCooling,PredictedHeating
2,0.43883546703743864,0.8839375407664382,4.829214974354838,20700920575.948666,42273446792.43341,-0.4557472772596944,-0.5597374173275073
118,0.5354539448093829,0.6777646603917611,1.6047016593393006,20538016548.98407,41816550696.55993,-0.49208775960199563,-0.5423600173244038
167,0.37557416660313253,0.524471033409179,3.827796607766241,20865621890.918343,43291879664.079185,-0.3567336466980245,-0.4155983406206116
216,0.8548213439341831,0.10531283489188781,2.6395514667791065,20571584614.18899,44279023188.72315,-0.6477042735733615,-0.6100201101614023
399,0.29098234937958645,0.029073217963114337,2.1763452031921737,21974477494.847942,54155304773.50742,-0.2217169598580689,-0.2164144332790525
226,0.11826756877190983,0.40693490103101093,2.2052558393882133,22275292757.839474,51504389644.54965,-0.14821860159062392,-0.20260805210818467
395,0.3701258158068887,0.7027343732317196,3.352810853623895,20816035473.797985,43114269442.11402,-0.37710392849708857,-0.45491627027909165
313,0.8076025390822232,0.14757627864335993,1.3686035106642587,20531980109.400055,43272746451.262024,-0.6167879142214845,-0.5796668315767504
96,0.4974435381886894,0.6366830660707491,2.0323476488092025,20581856921.955532,42095926889.99647,-0.4590796257968343,-0.5101733727677241
451,0.8040960399123676,0.5760382882424817,0.653803215213852,20337195809.43786,40924670851.53544,-0.6735294914370444,-0.6839785065196033
227,0.3246221302423526,0.03935131840665437,3.7650949402034435,21698958951.500797,51820313538.78303,-0.25062345351836474,-0.2542810818717794
470,0.20618609044428707,0.6701802041929427,3.3278489362701538,21457104624.99169,46337055118.6989,-0.25196610398750013,-0.33865061353677656
344,0.9349738402038031,0.9556264420314708,3.6811285914186755,20176182974.793434,40251750396.7292,-0.828564217882096,-0.8944573495157724
106,0.8533401503522179,0.7225033774571017,1.570541154621959,20237940277.53125,40631926963.37912,-0.7319955372511132,-0.7622953166441729
356,0.8518225868648974,0.15898668266537813,0.3031218273739611,20470433630.65223,42971473890.36623,-0.6490715774889025,-0.6028725023682936
268,0.8031776720594144,0.7048547509796242,4.785368932345652,20330781891.259193,40763026898.84436,-0.6981546996532102,-0.7512861733833059
291,0.3297442399963849,0.3202117086946265,2.400321730547136,21105924752.489132,44445568338.1785,-0.2917326952196635,-0.3201311150753846
317,0.9643423229090636,0.16911078895441345,1.66695226128669,20410391360.391163,42577786044.12483,-0.7355462273447118,-0.6905725484855306
250,0.30439560949531747,0.548510561339366,4.674847971300474,21126048644.6344,44203073609.10743,-0.309269931775275,-0.3822199731646968
496,0.3769257042021452,0.3567426519211881,2.0778587403941238,20893322290.150734,43712350787.151054,-0.3310191150639612,-0.35800492591726013
309,0.047786101137818386,0.7676478514553108,1.3192901754278912,24307294104.435806,63564034482.87422,-0.14586625210537763,-0.24379559218484742
88,0.6665182156590919,0.779449853782675,1.6241314970435607,20387734066.273033,41115324094.941025,-0.6028218483942002,-0.6551732041988177
33,0.014601566668696124,0.6742602060603055,1.569037474003175,28506555533.435974,86386514229.6644,-0.10870806705509393,-0.19957127950353168
473,0.6817578029948547,0.05850974937584638,0.7787166916666175,20952308218.593185,47302021948.868164,-0.5106934204796639,-0.46888394915839177
492,0.5144717619544826,0.14763073094363194,3.65059382268486,20831140197.72805,44387933435.88167,-0.4052661935137314,-0.4062722793081817
482,0.8997404883604155,0.7048697936192336,3.1917992051849566,20205454040.406414,40545985109.97141,-0.7663925546453783,-0.8014692870670047
53,0.07778365554603528,0.6934801976816724,2.4316506085869234,23107187635.252968,56090905213.164825,-0.1593442533714481,-0.25316928235614
357,0.9328344394819613,0.28275879235371204,1.1737187334208383,20332810593.272064,41539585621.07851,-0.727600673037359,-0.6956830404318967
19,0.2582257704889865,0.46698455739918016,1.448800282407533,21276881206.36212,45234401991.2155,-0.2582733214958692,-0.30392006747728567
330,0.02192773380439359,0.32637294679712575,1.3789669900521642,27013290176.727753,78833064073.66403,-0.06460574326128489,-0.11145736274428295
131,0.8420575422599406,0.04263853401576227,4.807218792758325,20972502327.09044,48614681893.4028,-0.6331898306487744,-0.6030750065921244
373,0.8100370194094589,0.5515297058602945,4.303500338959043,20362645623.26962,40947788731.57496,-0.6807019401098143,-0.7115481840169888
370,0.20874012036325534,0.42511588398001837,1.981462055177592,21498166033.96859,46654768155.784584,-0.21690012203505762,-0.26486765477563673
276,0.7968355041301075,0.165963312203398,3.1468461991703105,20514640983.39586,42975887939.40405,-0.6145270639328848,-0.5921041183976072
461,0.4455893762452246,0.502345428028959,2.8382254293603517,20714560276.423267,42675632633.61494,-0.40336795676988874,-0.44754059849750455
295,0.347639851539226,0.7654553014372749,3.758701314996345,20922503352.527077,43326313479.8388,-0.37013729642810617,-0.4599881581230186
431,0.3851089348579161,0.034273676878463694,4.205846235778278,21595608571.85481,51971473558.821014,-0.2951204374448807,-0.2962510314587847
115,0.08541731804690007,0.5184584458548955,1.7420074678624218,22906424557.61309,55052031814.63791,-0.1390377116300696,-0.20652773902116112
71,0.2680559292024076,0.030237979476414108,3.8643796730298647,22006989878.71727,54302526007.520706,-0.20793037678237483,-0.21561108368571166
420,0.2641898364586898,0.7530298420267474,2.461413474754248,21197246090.91898,44710769885.951355,-0.30481780260230873,-0.39129665472379516
321,0.45979046297842696,0.3258868672856858,1.78755350363195,20737562749.678284,43090461579.30432,-0.38706524061143827,-0.4018502684462234
485,0.6053944525949784,0.5260523482440598,2.8283451620139415,20486597777.199875,41680686673.49409,-0.5241567714407839,-0.5584841527248455
210,0.07138328299861356,0.24706367011745514,2.3317229615521033,23377833989.571754,58347461184.27178,-0.09138451847309521,-0.13092475913602256
35,0.5746341877294802,0.5902010926464022,2.989583957217105,20506511847.93873,41719676373.889465,-0.5108901008564616,-0.5564863671414664
215,0.15485250316332694,0.6812357499098882,3.386781204671934,21785585467.93873,48519865189.19569,-0.21589974867265221,-0.30837532671833917
