,SuperInsulating_01445,Simple 1001,SuperInsulating_00795,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.4,2.5,0.01,49390108390.47011,22000923853.000664,50452844768.26758
1,0.4,2.5,0.01830508474576271,46867016083.44344,21552266552.5644,50452844768.26758
2,0.4,2.5,0.02661016949152542,45198544423.78349,21207316855.100807,50452844768.26758
3,0.4,2.5,0.03491525423728813,44012210884.35767,20946888201.99301,50452844768.26758
4,0.4,2.5,0.043220338983050846,43120926477.484665,20766653186.008347,50452844768.26758
5,0.4,2.5,0.05152542372881356,42425146011.12352,20641567774.31428,50452844768.26758
6,0.4,2.5,0.059830508474576265,41867851792.37175,20510897237.910774,50452844768.26758
7,0.4,2.5,0.06813559322033898,41414203741.06787,20372850126.30048,50452844768.26758
8,0.4,2.5,0.07644067796610168,41034365508.37764,20296889363.870018,50452844768.26758
9,0.4,2.5,0.08474576271186439,40713505025.933525,20228603076.60747,50452844768.26758
10,0.4,2.5,0.09305084745762711,40438168256.33116,20157796569.093563,50452844768.26758
11,0.4,2.5,0.10135593220338981,40199502470.34413,20088228589.960587,50452844768.26758
12,0.4,2.5,0.10966101694915252,39990439476.47452,20013085438.944626,50452844768.26758
13,0.4,2.5,0.11796610169491524,39805978861.07873,19976580181.65381,50452844768.26758
14,0.4,2.5,0.12627118644067795,39642099678.144714,19910790109.763004,50452844768.26758
15,0.4,2.5,0.13457627118644067,39494834820.30519,19878406755.82454,50452844768.26758
16,0.4,2.5,0.14288135593220339,39362598774.69124,19856536674.07769,50452844768.26758
17,0.4,2.5,0.1511864406779661,39243007508.04142,19822383135.616314,50452844768.26758
18,0.4,2.5,0.1594915254237288,39134392867.2789,19807392869.54015,50452844768.26758
19,0.4,2.5,0.16779661016949152,39034657076.35411,19792987737.869778,50452844768.26758
20,0.4,2.5,0.17610169491525424,38943624564.963,19759196180.065502,50452844768.26758
21,0.4,2.5,0.18440677966101693,38860068564.1511,19727495579.52787,50452844768.26758
22,0.4,2.5,0.19271186440677965,38782806825.834015,19698648112.43108,50452844768.26758
23,0.4,2.5,0.20101694915254237,38711486547.73351,19680042068.714233,50452844768.26758
24,0.4,2.5,0.20932203389830506,38645434974.74878,19669628012.841755,50452844768.26758
25,0.4,2.5,0.21762711864406778,38584309073.84497,19661498071.82968,50452844768.26758
26,0.4,2.5,0.2259322033898305,38527116518.507065,19647783456.521446,50452844768.26758
27,0.4,2.5,0.23423728813559322,38473449106.8548,19641702256.17659,50452844768.26758
28,0.4,2.5,0.2425423728813559,38422992387.92239,19602729114.654343,50452844768.26758
29,0.4,2.5,0.25084745762711863,38375562194.030045,19596515319.924202,50452844768.26758
30,0.4,2.5,0.2591525423728813,38330719402.64096,19596171083.774017,50452844768.26758
31,0.4,2.5,0.26745762711864407,38288700003.57774,19590629371.80293,50452844768.26758
32,0.4,2.5,0.27576271186440676,38249223685.16477,19585907416.566746,50452844768.26758
33,0.4,2.5,0.28406779661016945,38212238821.86518,19580895411.6808,50452844768.26758
34,0.4,2.5,0.2923728813559322,38176726234.06415,19575791617.059547,50452844768.26758
35,0.4,2.5,0.3006779661016949,38142774666.29744,19570895796.403824,50452844768.26758
36,0.4,2.5,0.3089830508474576,38110854802.597046,19565856224.12201,50452844768.26758
37,0.4,2.5,0.31728813559322033,38080378565.7527,19561382592.536236,50452844768.26758
38,0.4,2.5,0.325593220338983,38051353901.87713,19557241655.820724,50452844768.26758
39,0.4,2.5,0.3338983050847457,38023672751.582466,19554602428.967445,50452844768.26758
40,0.4,2.5,0.34220338983050846,37997288878.38582,19550698690.08389,50452844768.26758
41,0.4,2.5,0.35050847457627116,37972044735.839645,19547049673.804016,50452844768.26758
42,0.4,2.5,0.35881355932203385,37947778234.29624,19543428981.39134,50452844768.26758
43,0.4,2.5,0.3671186440677966,37924721280.87808,19527802766.845165,50452844768.26758
44,0.4,2.5,0.3754237288135593,37902609961.86035,19524413726.341145,50452844768.26758
45,0.4,2.5,0.383728813559322,37881447813.26512,19311028652.80843,50452844768.26758
46,0.4,2.5,0.3920338983050847,37861216219.228,19306026205.6013,50452844768.26758
47,0.4,2.5,0.4003389830508474,37841625748.8844,19303168793.493637,50452844768.26758
48,0.4,2.5,0.4086440677966101,37822826762.90655,19300150169.92655,50452844768.26758
49,0.4,2.5,0.41694915254237286,37804668375.66169,19297246073.663033,50452844768.26758
50,0.4,2.5,0.42525423728813555,37787270687.56507,19294482155.57792,50452844768.26758
51,0.4,2.5,0.4335593220338983,37770570343.13615,19298440477.30165,50452844768.26758
52,0.4,2.5,0.441864406779661,37754335566.48726,19295873636.082676,50452844768.26758
53,0.4,2.5,0.4501694915254237,37738677821.04836,19292388972.664463,50452844768.26758
54,0.4,2.5,0.45847457627118643,37723675463.78046,19289875662.727352,50452844768.26758
55,0.4,2.5,0.4667796610169491,37709121711.60065,19287470671.77613,50452844768.26758
56,0.4,2.5,0.4750847457627118,37695144999.81523,19249394453.262768,50452844768.26758
57,0.4,2.5,0.48338983050847456,37681640090.947586,19243395654.186207,50452844768.26758
58,0.4,2.5,0.49169491525423725,37668526074.328186,19241339382.981453,50452844768.26758
59,0.4,2.5,0.5,37655748820.393654,19243925463.848984,50452844768.26758
