Time,BLOCCO1:ZONA2:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA2:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA3:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA3:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA1:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA1:WINTER DESIGN DAY IN OFFICE_ON (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN OFFICE_ON (01-01:31-12) LUG:Des Cool Mass Flow [kg/s]
00:30:00,1.817049E+03,7.584156E+00,1.350114E-01,4.651255E-04,4.252147E+02,0.000000E+00,3.160486E-02,0.000000E+00,1.817049E+03,7.960079E+00,1.350114E-01,4.881819E-04
01:00:00,1.817045E+03,0.000000E+00,1.350111E-01,0.000000E+00,4.252139E+02,0.000000E+00,3.160480E-02,0.000000E+00,1.817045E+03,0.000000E+00,1.350111E-01,0.000000E+00
01:30:00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00,4.252140E+02,0.000000E+00,3.160480E-02,0.000000E+00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00
02:00:00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00,4.252141E+02,0.000000E+00,3.160481E-02,0.000000E+00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00
02:30:00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00,4.252141E+02,0.000000E+00,3.160481E-02,0.000000E+00,1.817046E+03,0.000000E+00,1.350112E-01,0.000000E+00
03:00:00,1.817047E+03,0.000000E+00,1.350112E-01,0.000000E+00,4.252142E+02,0.000000E+00,3.160482E-02,0.000000E+00,1.817047E+03,0.000000E+00,1.350112E-01,0.000000E+00
03:30:00,1.817047E+03,0.000000E+00,1.350113E-01,0.000000E+00,4.252143E+02,0.000000E+00,3.160482E-02,0.000000E+00,1.817047E+03,0.000000E+00,1.350113E-01,0.000000E+00
04:00:00,1.817047E+03,0.000000E+00,1.350113E-01,0.000000E+00,4.252143E+02,0.000000E+00,3.160483E-02,0.000000E+00,1.817047E+03,0.000000E+00,1.350113E-01,0.000000E+00
04:30:00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00,4.252144E+02,0.000000E+00,3.160483E-02,0.000000E+00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00
05:00:00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00,4.252145E+02,0.000000E+00,3.160484E-02,0.000000E+00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00
05:30:00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00,4.252145E+02,0.000000E+00,3.160484E-02,0.000000E+00,1.817048E+03,0.000000E+00,1.350113E-01,0.000000E+00
06:00:00,1.817049E+03,0.000000E+00,1.350114E-01,0.000000E+00,4.252146E+02,0.000000E+00,3.160485E-02,0.000000E+00,1.817049E+03,0.000000E+00,1.350114E-01,0.000000E+00
06:30:00,1.817049E+03,1.064266E+03,1.350114E-01,7.593763E-02,4.252146E+02,2.858927E+02,3.160485E-02,2.051414E-02,1.817049E+03,1.050078E+03,1.350114E-01,7.505195E-02
07:00:00,1.817049E+03,2.060329E+03,1.350114E-01,1.511488E-01,4.252147E+02,5.952766E+02,3.160485E-02,4.387488E-02,1.817049E+03,2.031474E+03,1.350114E-01,1.491555E-01
07:30:00,1.817049E+03,2.208439E+03,1.350114E-01,1.668062E-01,4.252147E+02,6.596838E+02,3.160486E-02,4.982129E-02,1.817049E+03,2.175138E+03,1.350114E-01,1.642909E-01
08:00:00,1.817049E+03,2.392241E+03,1.350114E-01,1.807277E-01,4.252148E+02,6.864352E+02,3.160486E-02,5.184698E-02,1.817049E+03,2.356384E+03,1.350114E-01,1.780193E-01
08:30:00,1.817050E+03,2.447192E+03,1.350114E-01,1.848507E-01,4.252148E+02,6.880183E+02,3.160487E-02,5.195717E-02,1.817050E+03,2.413348E+03,1.350114E-01,1.822951E-01
09:00:00,1.817050E+03,2.553189E+03,1.350115E-01,1.928418E-01,4.252149E+02,7.046002E+02,3.160487E-02,5.320634E-02,1.817050E+03,2.520687E+03,1.350115E-01,1.903876E-01
09:30:00,1.817050E+03,2.591681E+03,1.350115E-01,1.957670E-01,4.252149E+02,7.075659E+02,3.160487E-02,5.343509E-02,1.817050E+03,2.560919E+03,1.350115E-01,1.934439E-01
10:00:00,1.817050E+03,2.634713E+03,1.350115E-01,1.990369E-01,4.252149E+02,7.133389E+02,3.160487E-02,5.387533E-02,1.817050E+03,2.606259E+03,1.350115E-01,1.968878E-01
10:30:00,1.817050E+03,2.681316E+03,1.350115E-01,2.025656E-01,4.252150E+02,7.213639E+02,3.160488E-02,5.448282E-02,1.817050E+03,2.655798E+03,1.350115E-01,2.006384E-01
11:00:00,1.817051E+03,2.730348E+03,1.350115E-01,2.062702E-01,4.252150E+02,7.311211E+02,3.160488E-02,5.521970E-02,1.817051E+03,2.708410E+03,1.350115E-01,2.046136E-01
11:30:00,1.817051E+03,2.739483E+03,1.350115E-01,2.069593E-01,4.252151E+02,7.323103E+02,3.160488E-02,5.530937E-02,1.817051E+03,2.721744E+03,1.350115E-01,2.056198E-01
12:00:00,1.817051E+03,2.744709E+03,1.350115E-01,2.073516E-01,4.252151E+02,7.332019E+02,3.160489E-02,5.537639E-02,1.817051E+03,2.731717E+03,1.350115E-01,2.063708E-01
12:30:00,1.817051E+03,2.786704E+03,1.350116E-01,2.105191E-01,4.252151E+02,7.433160E+02,3.160489E-02,5.613936E-02,1.817051E+03,2.778903E+03,1.350116E-01,2.099304E-01
13:00:00,1.817051E+03,2.827746E+03,1.350116E-01,2.136140E-01,4.252152E+02,7.536368E+02,3.160489E-02,5.691774E-02,1.817051E+03,2.825463E+03,1.350116E-01,2.134422E-01
13:30:00,1.817051E+03,2.904070E+03,1.350116E-01,2.193756E-01,4.252152E+02,7.726862E+02,3.160489E-02,5.835568E-02,1.817051E+03,2.907500E+03,1.350116E-01,2.196354E-01
14:00:00,1.817052E+03,2.977989E+03,1.350116E-01,2.249597E-01,4.252152E+02,7.914767E+02,3.160489E-02,5.977487E-02,1.817052E+03,2.987185E+03,1.350116E-01,2.256549E-01
14:30:00,1.817052E+03,3.008298E+03,1.350116E-01,2.272537E-01,4.252152E+02,8.000779E+02,3.160490E-02,6.042538E-02,1.817052E+03,3.023159E+03,1.350116E-01,2.283768E-01
15:00:00,1.817052E+03,3.031252E+03,1.350116E-01,2.289929E-01,4.252153E+02,8.069029E+02,3.160490E-02,6.094193E-02,1.817052E+03,3.051521E+03,1.350116E-01,2.305245E-01
15:30:00,1.817052E+03,3.045507E+03,1.350116E-01,2.300728E-01,4.252153E+02,8.115110E+02,3.160490E-02,6.129051E-02,1.817052E+03,3.070766E+03,1.350116E-01,2.319813E-01
16:00:00,1.817052E+03,3.050690E+03,1.350116E-01,2.304645E-01,4.252153E+02,8.137342E+02,3.160490E-02,6.145839E-02,1.817052E+03,3.080381E+03,1.350116E-01,2.327077E-01
16:30:00,1.817052E+03,2.974058E+03,1.350116E-01,2.246742E-01,4.252153E+02,7.961815E+02,3.160490E-02,6.013246E-02,1.817052E+03,3.007493E+03,1.350116E-01,2.272002E-01
17:00:00,1.817052E+03,2.889256E+03,1.350116E-01,2.182634E-01,4.252154E+02,7.761197E+02,3.160491E-02,5.861643E-02,1.817052E+03,2.925638E+03,1.350116E-01,2.210119E-01
17:30:00,1.817052E+03,2.038675E+03,1.350116E-01,1.456826E-01,4.252154E+02,4.877878E+02,3.160491E-02,3.544408E-02,1.817052E+03,2.072499E+03,1.350116E-01,1.480174E-01
18:00:00,1.817053E+03,1.429999E+03,1.350117E-01,8.786956E-02,4.252154E+02,2.782565E+02,3.160491E-02,1.709719E-02,1.817053E+03,1.458821E+03,1.350117E-01,8.963006E-02
18:30:00,1.817053E+03,1.208487E+03,1.350117E-01,7.413312E-02,4.252154E+02,2.469431E+02,3.160491E-02,1.514718E-02,1.817053E+03,1.235494E+03,1.350117E-01,7.578980E-02
19:00:00,1.817053E+03,7.739384E+02,1.350117E-01,4.748724E-02,4.252155E+02,1.468200E+02,3.160491E-02,9.007662E-03,1.817053E+03,8.007568E+02,1.350117E-01,4.913258E-02
19:30:00,1.817053E+03,5.250148E+02,1.350117E-01,3.220947E-02,4.252155E+02,9.341364E+01,3.160491E-02,5.730501E-03,1.817053E+03,5.517565E+02,1.350117E-01,3.385017E-02
20:00:00,1.817053E+03,2.416087E+02,1.350117E-01,1.482126E-02,4.252155E+02,3.065835E+01,3.160492E-02,1.880575E-03,1.817053E+03,2.669886E+02,1.350117E-01,1.637827E-02
20:30:00,1.817053E+03,2.174761E+02,1.350117E-01,1.333898E-02,4.252155E+02,2.806423E+01,3.160492E-02,1.721200E-03,1.817053E+03,2.408932E+02,1.350117E-01,1.477544E-02
21:00:00,1.817053E+03,1.921681E+02,1.350117E-01,1.178676E-02,4.252155E+02,2.422780E+01,3.160492E-02,1.485913E-03,1.817053E+03,2.130628E+02,1.350117E-01,1.306851E-02
21:30:00,1.817053E+03,1.647663E+02,1.350117E-01,1.010608E-02,4.252155E+02,1.911857E+01,3.160492E-02,1.172559E-03,1.817053E+03,1.826930E+02,1.350117E-01,1.120577E-02
22:00:00,1.817053E+03,1.355794E+02,1.350117E-01,8.315807E-03,4.252156E+02,1.295023E+01,3.160492E-02,7.942413E-04,1.817053E+03,1.502841E+02,1.350117E-01,9.217837E-03
22:30:00,1.817053E+03,1.075148E+02,1.350117E-01,6.594335E-03,4.252156E+02,6.753352E+00,3.160492E-02,4.141777E-04,1.817053E+03,1.189112E+02,1.350117E-01,7.293402E-03
23:00:00,1.817053E+03,8.111755E+01,1.350117E-01,4.975169E-03,4.252156E+02,1.930805E+00,3.160492E-02,1.184126E-04,1.817053E+03,8.925885E+01,1.350117E-01,5.474549E-03
23:30:00,1.817053E+03,5.462685E+01,1.350117E-01,3.350340E-03,4.252156E+02,0.000000E+00,3.160492E-02,0.000000E+00,1.817053E+03,5.966344E+01,1.350117E-01,3.659268E-03
24:00:00,1.817053E+03,2.828378E+01,1.350117E-01,1.734641E-03,4.252156E+02,0.000000E+00,3.160492E-02,0.000000E+00,1.817053E+03,3.042531E+01,1.350117E-01,1.865991E-03
Peak,1.817053E+03,3.050690E+03,1.350117E-01,2.304645E-01,4.252156E+02,8.137342E+02,3.160492E-02,6.145839E-02,1.817053E+03,3.080381E+03,1.350117E-01,2.327077E-01

Peak Vol Flow (m3/s),,,1.160004E-01,1.980122E-01,,,2.715456E-02,5.280428E-02,,,1.160004E-01,1.999395E-01
